Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,36283.88,19470.00,13609200.00,476,109,0,8,0,13,565,0,14,0.9112280067220433,6240
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,252320.44,0.00,0,685,0,44,0,38,0,603,13,1.060885522540293,5808
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,940.10,0.00,56500.00,10,0,0,0,0,0,14,0,3,0.7272727272727273,132
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,18237.55,2105.35,449750.00,164,0,7,0,48,0,171,0,12,0.9103569430062328,1872
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,56761.02,34285.07,1706000.00,711,0,43,0,28,0,659,0,16,0.5560217065819364,8040
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,12867.76,22592.80,7933900.00,378,2,0,1,20,0,441,0,10,0.9542579035278614,4716
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,22528.95,24450.60,9869400.00,449,0,1,0,22,0,532,0,12,0.9773213613788312,5520
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,17755.43,14772.00,7432800.00,348,2,0,0,10,0,476,0,12,0.963855421686747,3984
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,11004.18,9490.00,5264000.00,218,0,0,0,0,0,294,0,7,0.9728506787330317,2652
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,34547.00,32388.00,18099900.00,720,96,0,11,2,0,823,0,19,0.9356031578637943,8700
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,33911.00,22495.00,17410800.00,600,25,0,6,0,24,727,0,15,0.9722835935618092,7980
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,114244.69,0.00,0,654,0,51,0,14,0,616,13,1.4455183672689529,6072
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1980.50,1000.00,108500.00,25,0,0,0,0,0,28,0,1,0.0,312
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,17522.06,898.49,246500.00,87,0,7,0,19,0,102,0,8,0.8576831375333851,1020
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,88866.75,29184.50,1161750.00,512,0,70,0,35,0,443,0,11,0.8657080053060099,4956
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,14774.36,13600.00,4811000.00,238,1,0,4,11,0,309,0,7,0.9699988713136984,2880
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,32879.34,27767.65,10909800.00,504,0,7,0,16,0,608,0,14,0.9479859005120074,6108
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,54865.03,42490.00,19543400.00,821,5,0,10,28,0,941,0,21,0.975095836588226,10392
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,44387.11,30030.00,14762000.00,627,76,0,14,30,0,706,0,15,0.9265017569335586,7440
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,51642.19,26280.00,16508100.00,654,2,0,5,15,0,870,0,19,0.9669876177280566,7944
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,35297.44,18590.00,13037200.00,452,9,0,1,0,1,525,0,11,0.9809556143865787,5976
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,67728.70,0.00,0,235,0,0,0,0,0,290,5,1.175,2880
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,17303.66,2200.00,522250.00,195,0,0,0,13,0,210,0,14,0.920151859761475,2160
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,45778.07,27578.65,1043250.00,490,0,44,0,10,0,376,0,9,0.7436526447298522,4560
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,26560.80,38206.84,13421500.00,638,1,0,6,3,0,739,0,20,0.9772139696964736,7944
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,15127.30,17541.84,6377400.00,323,0,0,0,28,0,375,0,8,0.9765100671140939,3576
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,21857.30,15540.00,7955300.00,367,1,0,2,19,0,516,0,12,0.9644711450374398,4224
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,19430.60,13707.28,7914000.00,326,1,0,0,0,0,448,0,12,0.9640718562874252,4008
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,34460.52,27780.00,14597100.00,632,69,0,54,15,0,695,0,17,0.9351567875720542,7032
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,32416.70,17820.00,13431000.00,493,1,0,3,0,3,634,0,15,0.9680352550114283,6168
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,213844.46,0.00,0,675,0,135,0,66,0,481,12,0.9623815662293594,4560
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,905.13,0.00,52500.00,9,0,0,0,0,0,12,0,1,0.8888888888888888,108
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,13515.11,272.58,247250.00,85,0,2,0,11,0,115,0,14,0.8311555935031563,1068
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,44038.97,24480.00,814250.00,467,0,39,0,16,0,385,0,11,0.46864388745096225,4512
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,20968.47,27486.12,9268400.00,489,1,0,23,26,0,611,0,16,0.963267949764744,5496
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,26627.67,27842.14,11777400.00,548,0,1,0,19,0,655,0,15,0.9763506272528932,6600
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,24672.98,27261.36,12148600.00,518,3,0,0,24,0,594,0,15,0.9795539033457249,6456
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,38277.99,38617.64,16650000.00,803,121,0,100,79,0,800,0,18,0.9135510546652202,8400
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,22310.38,11280.00,7959000.00,334,1,0,0,0,0,493,0,12,0.9628482972136223,3876
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,15118.38,8415.00,5823400.00,234,9,0,9,0,5,335,0,10,0.9594594594594594,2664
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,243058.40,0.00,0,936,0,84,0,44,0,497,11,1.099884943019016,4536
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,7151.06,1805.40,109000.00,36,0,2,0,18,0,25,0,4,0.6849507271335771,252
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,33891.81,9358.04,800250.00,402,0,13,0,15,0,320,0,21,0.877749070345792,3348
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,42000.87,26940.00,1616250.00,593,0,14,0,25,0,619,0,15,0.7412347775504101,7464
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,27049.32,39760.00,14439800.00,646,0,0,5,3,0,697,0,17,0.9820792072862947,8544
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,25123.68,27806.65,10839600.00,517,0,0,0,10,0,590,0,15,0.9782178217821782,6060
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,12513.44,11480.00,4841200.00,232,2,0,0,20,0,272,0,7,0.9766355140186916,2568
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,32748.60,27235.00,14826000.00,580,2,0,3,11,0,718,0,16,0.9701080255841774,7476
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,28078.86,21480.00,11808300.00,480,3,0,7,28,0,551,0,15,0.9732880297779611,5688
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,21131.22,14135.00,9728400.00,341,116,0,49,0,27,414,0,11,0.9284658143632645,4476
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,133701.47,0.00,0,658,0,20,0,17,0,561,13,1.1908926374005109,6372
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2967.44,0.00,124500.00,28,0,0,0,0,0,36,0,3,0.4482758620689655,348
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,24277.71,4075.99,517250.00,235,0,2,0,15,0,203,0,12,0.8972797345073922,2136
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,33011.84,21373.88,1568500.00,463,0,2,0,12,0,508,0,13,0.6408222155056946,6888
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,37929.98,47405.13,16291100.00,808,7,0,9,46,0,930,0,22,0.9709835542147796,9660
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,81102.94,37619.77,11545200.00,614,0,66,0,29,0,725,0,17,0.9570625543676305,6528
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,32370.66,28037.95,12517200.00,572,5,0,0,28,0,689,0,16,0.9727032018775098,6672
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,19215.16,17030.00,8498000.00,342,1,0,0,10,0,365,0,10,0.9776536312849162,4296
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,22723.64,13140.00,8162700.00,340,61,0,2,0,0,450,0,10,0.9300113658535368,3924
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,30358.14,21890.00,14194400.00,493,21,0,0,0,10,537,0,12,0.9812607509194053,6492
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,43313.27,0.00,0,274,0,3,0,3,0,343,6,1.754781902818156,3240
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2371.15,400.00,114000.00,19,0,0,0,0,0,22,0,1,0.9473684210526315,228
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,19821.29,840.00,231000.00,95,0,2,0,7,0,105,0,12,0.8418033748863983,984
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,79638.05,15569.72,455500.00,255,0,63,0,29,0,229,0,6,0.8506921194849808,1860
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,36238.34,22160.00,7923700.00,404,3,0,0,0,0,524,0,12,0.9720101781170484,4716
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,34444.29,22070.24,9262800.00,387,0,4,0,3,0,459,0,10,0.9792147806004619,5196
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,64340.56,28070.00,12967500.00,636,4,0,5,46,0,810,0,18,0.9568295126313201,6900
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,61084.58,22750.00,13036000.00,576,1,0,4,13,0,783,0,19,0.9581655694574605,6576
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,45649.65,16920.00,9807000.00,429,2,0,0,18,0,596,0,18,0.9570707070707071,4752
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,49545.55,20900.00,15184400.00,483,2,0,4,0,3,521,0,11,0.9726845826985867,6936
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,54289.57,0.00,0,347,0,0,0,18,0,410,9,1.0026961457697234,4296
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1926.49,1380.04,7750.00,26,0,2,0,75,0,3,0,1,0.6666666666666666,36
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,2927.10,2730.00,552000.00,51,5,0,12,20,0,48,1,1,0.9998813135183507,276
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,785.75,480.00,75600.00,11,12,0,10,30,10,3,0,1,1.0,36
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,2700.21,0.00,0,0,0,0,0,0,0,0,0,NaN,0
